Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,222,446,
gidA CDS,Sant_0001,forward,572,"2,462",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,480","3,101",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,740","4,138",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,147","4,965",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"5,015","5,254",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,312","5,782",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,797","6,330",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,343","7,884",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,935","8,804",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,837","10,221",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,242","10,664",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,950","12,326",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,475","14,307",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,477","15,681",hypothetical protein
pstS CDS,Sant_0015,forward,"15,859","16,907","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,954","17,919",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,919","18,812",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,851","19,627",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,642","20,393",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,737","21,421",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,330","22,765",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,779","23,674","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,910","24,685",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,700","25,182",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,179","26,382",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,440","27,213",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,360","29,565",hypothetical protein
proP CDS,Sant_0028,forward,"29,685","31,187",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,413","32,702",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"33,030","34,397",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,399","35,100",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,467","36,477",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,542","37,828",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,878","39,350",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,759","40,445","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,535","43,293",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,399","44,388","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,613","47,596",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,604","47,984",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,981","49,033",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"49,035","50,348",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,390","51,634",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,798","52,703",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,793","53,176","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,313","53,840",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,837","55,111",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,684","57,735",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,750","58,007","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"58,050","58,497","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,511","58,825","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,847","59,924","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,965","61,687",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,802","62,663","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,770","63,177",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,267","64,520",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,554","65,363",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,356","66,126",Phsophonate ABC transporter
Phosphonate ABC transporter periplasmic phosphate-binding protein CDS,Sant_0058,reverse,"66,128","67,009",Phosphonate ABC transporter periplasmic phosphate-binding protein
GntR-family transcriptional regulator CDS,Sant_0059,forward,"67,146","67,827",GntR-family transcriptional regulator
6-phospho 3-hexuloisomerase CDS,Sant_0060,reverse,"68,063","68,628",6-phospho 3-hexuloisomerase
3-hexulose-6-phosphate synthase CDS,Sant_0061,reverse,"68,621","69,265",3-hexulose-6-phosphate synthase
Dak1 domain-containing protein CDS,Sant_0062,reverse,"69,284","70,288",Dak1 domain-containing protein
"Dihydroxyacetone kinase, L subunit CDS",Sant_0063,reverse,"70,269","70,936","Dihydroxyacetone kinase, L subunit"
Mannitol-1-phosphate 5-dehydrogenase CDS,Sant_0064,reverse,"70,961","72,103",Mannitol-1-phosphate 5-dehydrogenase
PTS system mannose/fructose/sorbose family IID component CDS,Sant_0065,reverse,"72,116","72,952",PTS system mannose/fructose/sorbose family IID component
putative PTS system IIC component CDS,Sant_0066,reverse,"72,949","73,800",putative PTS system IIC component
putative PTS system IIB component CDS,Sant_0067,reverse,"73,803","74,301",putative PTS system IIB component
putative PTS system IIA component CDS,Sant_0068,reverse,"74,294","74,723",putative PTS system IIA component
sorbitol-6-phosphate 2-dehydrogenase CDS,Sant_0069,reverse,"74,751","75,562",sorbitol-6-phosphate 2-dehydrogenase
Transcriptional regulator of PTS system CDS,Sant_0070,reverse,"75,668","78,316",Transcriptional regulator of PTS system
trmE CDS,Sant_0071,reverse,"78,741","80,107",tRNA modification GTPase
yidC CDS,Sant_0072,reverse,"80,206","81,850",Membrane protein
yidD CDS,Sant_0073,reverse,"81,853","82,110",membrane protein
rnpA CDS,Sant_0074,reverse,"82,074","82,433",Ribonuclease P protein component
rpmH CDS,Sant_0075,reverse,"82,451","82,594",50S ribosomal protein L34
hypothetical protein CDS,Sant_0076,forward,"82,861","83,018",hypothetical protein
dnaA CDS,Sant_0077,forward,"83,234","84,634",Chromosomal replication initiator protein
dnaN CDS,Sant_0078,forward,"84,637","85,737",DNA polymerase III beta-subunit
recF CDS,Sant_0079,forward,"85,764","86,868",DNA replication and repair protein
gyrB CDS,Sant_0080,forward,"86,887","89,301",DNA gyrase subunit B
yidA CDS,Sant_0081,forward,"89,819","90,671",Sugar phosphatase
dgoR CDS,Sant_0082,forward,"90,846","91,548",Galactonate operon transcriptional repressor
dgoK CDS,Sant_0083,forward,"91,545","92,442",2-dehydro-3-deoxygalactonokinase
2-dehydro-3-deoxyphosphogalactonate aldolase CDS,Sant_0084,forward,"92,429","93,050",2-dehydro-3-deoxyphosphogalactonate aldolase
