tag,id,name,product
Sant_0001,0,gidA,TRNA uridine 5-carboxymethylaminomethyl modification enzyme
Sant_0002,1,gidB,Ribosomal RNA small subunit methyltransferase G
Sant_0003,2,atpI,F0F1 ATP synthase subunit I
Sant_0004,3,atpB,F0F1 ATP synthase subunit A
Sant_0005,4,atpE,F0F1 ATP synthase subunit C
Sant_0006,5,atpF,F0F1 ATP synthase subunit B
Sant_0007,6,atpH,F0F1 ATP synthase subunit delta
Sant_0008,7,atpA,F0F1 ATP synthase subunit alpha
Sant_0009,8,atpG,F0F1 ATP synthase subunit gamma
Sant_0010,9,atpD,F0F1 ATP synthase subunit beta
Sant_0011,10,atpC,F0F1 ATP synthase subunit epsilon
Sant_0012,11,glmU,Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphat acetyltransferase
Sant_0013,12,glmS,Glucosamine-fructose-6-phosphate aminotransferase
Sant_0014,13,-,hypothetical protein
Sant_0015,14,pstS,"Phosphate ABC transporter, periplasmic phosphate-binding protein"
Sant_0016,15,pstC,Phosphate transporter permease subunit
Sant_0017,16,pstA,Phosphate transporter permease subunit
Sant_0018,17,pstB,Phosphate transporter ATP-binding protein
Sant_0019,18,phoU,Phosphate uptake regulator
Sant_0020,19,-,6-phosphogluconate phosphatase
Sant_0021,20,-,N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
Sant_0022,21,agaE,"PTS system, N-acetylgalactosamine-specific IID component"
Sant_0023,22,agaW,PTS system N-acetylgalactosameine-specific IIC component
Sant_0024,23,agaV,N-acetylgalactosamine-specific enzyme IIB component of PTS
Sant_0025,24,agaS1,Tagatose-6-phosphate ketose/aldose isomerase
Sant_0026,25,agaR,Aga operon transcriptional repressor of sugar metabolism
Sant_0027,26,-,hypothetical protein
Sant_0028,27,proP,Proline/glycine betaine transporter
Sant_0029,28,arsB,Arsenite/antimonite transporter
Sant_0030,29,-,Permease of the major facilitator superfamily
Sant_0031,30,-,Cyclase family protein
Sant_0032,31,-,Starvation sensing zinc-binding dehydrogenase
Sant_0033,32,-,Major facilitator transporter
