Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,63,288,
gidA CDS,Sant_0001,forward,415,"2,307",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,325","2,945",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,589","3,969",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,978","4,796",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,846","5,085",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,144","5,614",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,629","6,163",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,183","7,724",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,777","8,640",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,673","10,055",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,076","10,498",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,784","12,161",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,310","14,142",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,312","15,508",hypothetical protein
pstS CDS,Sant_0015,forward,"15,684","16,727","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,774","17,745",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,745","18,638",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,677","19,453",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,468","20,205",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,549","21,232",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,140","22,574",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,588","23,481","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,717","24,484",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,499","24,981",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"24,978","26,177",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,235","27,008",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,151","29,356",hypothetical protein
proP CDS,Sant_0028,forward,"29,479","30,990",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,217","32,515",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,843","34,210",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,212","34,913",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,280","36,290",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,355","37,641",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,691","39,163",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,572","40,258","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,348","43,106",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,212","44,201","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,426","47,409",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,417","47,797",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,794","48,846",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,848","50,161",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,203","51,447",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,611","52,516",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,606","52,989","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,126","53,653",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,650","54,921",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,493","57,541",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,556","57,813","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"57,856","58,302","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,316","58,630","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,652","59,728","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,769","61,487",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,601","62,461","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,568","62,975",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,065","64,315",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,349","65,158",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,151","65,921",Phsophonate ABC transporter
