Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,1,225,
gidA CDS,Sant_0001,forward,356,"2,248",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,266","2,887",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,529","3,935",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,944","4,765",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,815","5,054",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,116","5,589",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,606","6,143",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,156","7,697",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,767","8,636",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,669","10,051",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,072","10,494",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,780","12,156",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,305","14,137",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,319","15,519",hypothetical protein
pstS CDS,Sant_0015,forward,"15,695","16,735","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,782","17,741",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,741","18,634",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,673","19,449",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,464","20,201",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,545","21,228",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,136","22,570",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,584","23,477","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,713","24,480",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,495","24,977",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"24,974","26,173",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,231","27,004",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,147","29,352",hypothetical protein
proP CDS,Sant_0028,forward,"29,472","30,974",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,200","32,489",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,817","34,184",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,186","34,887",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,254","36,278",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,346","37,632",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,682","39,154",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,563","40,249","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,339","43,097",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,203","44,192","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,417","47,400",Putative Mucin-2 like methyltransferase
