Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,87,312,
gidA CDS,Sant_0001,forward,438,"2,327",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,345","2,965",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,607","3,987",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,996","4,814",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,864","5,103",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,161","5,631",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,647","6,180",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,193","7,735",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,786","8,649",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,682","10,064",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,085","10,507",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,791","12,167",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,316","14,148",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,318","15,523",hypothetical protein
pstS CDS,Sant_0015,forward,"15,699","16,739","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,786","17,745",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,745","18,638",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,677","19,453",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,468","20,205",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,549","21,232",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,140","22,574",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,588","23,486","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,724","24,496",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,511","24,993",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"24,990","26,202",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,260","27,033",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,177","29,383",hypothetical protein
proP CDS,Sant_0028,forward,"29,504","31,019",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,248","32,537",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,865","34,236",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,238","34,946",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,316","36,326",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,391","37,683",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,733","39,209",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,620","40,306","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,396","43,154",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,260","44,249","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,474","47,457",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,465","47,845",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,842","48,894",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,896","50,209",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,251","51,495",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,659","52,564",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,654","53,037","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,174","53,701",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,698","54,969",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,541","57,589",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,604","57,861","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"57,904","58,350","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,364","58,678","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,700","59,776","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,817","61,535",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,649","62,541","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,648","63,056",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,147","64,397",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,431","65,240",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,233","66,006",Phsophonate ABC transporter
Phosphonate ABC transporter periplasmic phosphate-binding protein CDS,Sant_0058,reverse,"66,008","66,891",Phosphonate ABC transporter periplasmic phosphate-binding protein
GntR-family transcriptional regulator CDS,Sant_0059,forward,"67,028","67,704",GntR-family transcriptional regulator
6-phospho 3-hexuloisomerase CDS,Sant_0060,reverse,"68,103","68,669",6-phospho 3-hexuloisomerase
3-hexulose-6-phosphate synthase CDS,Sant_0061,reverse,"68,662","69,303",3-hexulose-6-phosphate synthase
Dak1 domain-containing protein CDS,Sant_0062,reverse,"69,322","70,325",Dak1 domain-containing protein
"Dihydroxyacetone kinase, L subunit CDS",Sant_0063,reverse,"70,306","70,973","Dihydroxyacetone kinase, L subunit"
Mannitol-1-phosphate 5-dehydrogenase CDS,Sant_0064,reverse,"70,998","72,143",Mannitol-1-phosphate 5-dehydrogenase
PTS system mannose/fructose/sorbose family IID component CDS,Sant_0065,reverse,"72,155","72,993",PTS system mannose/fructose/sorbose family IID component
putative PTS system IIC component CDS,Sant_0066,reverse,"72,990","73,735",putative PTS system IIC component
putative PTS system IIB component CDS,Sant_0067,reverse,"73,738","74,240",putative PTS system IIB component
putative PTS system IIA component CDS,Sant_0068,reverse,"74,233","74,661",putative PTS system IIA component
sorbitol-6-phosphate 2-dehydrogenase CDS,Sant_0069,reverse,"74,689","75,513",sorbitol-6-phosphate 2-dehydrogenase
Transcriptional regulator of PTS system CDS,Sant_0070,reverse,"75,617","78,261",Transcriptional regulator of PTS system
trmE CDS,Sant_0071,reverse,"78,680","80,046",tRNA modification GTPase
yidC CDS,Sant_0072,reverse,"80,151","81,794",Membrane protein
yidD CDS,Sant_0073,reverse,"81,797","82,057",membrane protein
rnpA CDS,Sant_0074,reverse,"82,021","82,380",Ribonuclease P protein component
rpmH CDS,Sant_0075,reverse,"82,398","82,541",50S ribosomal protein L34
hypothetical protein CDS,Sant_0076,forward,"82,809","82,965",hypothetical protein
dnaA CDS,Sant_0077,forward,"83,180","84,574",Chromosomal replication initiator protein
dnaN CDS,Sant_0078,forward,"84,577","85,677",DNA polymerase III beta-subunit
recF CDS,Sant_0079,forward,"85,706","86,804",DNA replication and repair protein
gyrB CDS,Sant_0080,forward,"86,823","89,237",DNA gyrase subunit B
yidA CDS,Sant_0081,forward,"89,756","90,603",Sugar phosphatase
dgoR CDS,Sant_0082,forward,"90,778","91,478",Galactonate operon transcriptional repressor
dgoK CDS,Sant_0083,forward,"91,475","92,383",2-dehydro-3-deoxygalactonokinase
2-dehydro-3-deoxyphosphogalactonate aldolase CDS,Sant_0084,forward,"92,370","92,993",2-dehydro-3-deoxyphosphogalactonate aldolase
Pathogenicity island effector protein CDS,Sant_0085,reverse,"93,320","94,493",Pathogenicity island effector protein
Galactonate dehydratase CDS,Sant_0086,forward,"95,201","96,357",Galactonate dehydratase
dgoT CDS,Sant_0087,forward,"96,485","97,807",D-galactonate transporter
Ankyrin repeat domain protein CDS,Sant_0088,reverse,"98,175","100,137",Ankyrin repeat domain protein
Putative lipoprotein CDS,Sant_0089,reverse,"100,309","100,635",Putative lipoprotein
ibpA CDS,Sant_0090,forward,"100,940","101,353",Heat shock protein A
ibpB CDS,Sant_0091,forward,"101,458","101,913",Heat shock protein B
avtA CDS,Sant_0092,reverse,"102,099","103,358",Valine-pyruvate aminotransferase
Putative transmembrane protein CDS,Sant_0093,reverse,"103,629","104,630",Putative transmembrane protein
D-isomer specific 2-hydroxyacid dehydrogenase CDS,Sant_0094,reverse,"105,145","106,138",D-isomer specific 2-hydroxyacid dehydrogenase
Putative acetyltransferase CDS,Sant_0095,reverse,"106,289","106,767",Putative acetyltransferase
glyQ CDS,Sant_0096,forward,"107,005","107,919",Glycyl-tRNA synthetase subunit alpha
glyS CDS,Sant_0097,forward,"107,929","109,998",Glycyl-tRNA synthetase beta chain
Lipoprotein CDS,Sant_0098,forward,"110,155","110,883",Lipoprotein
mtlA CDS,Sant_0099,forward,"111,481","113,422",PTS system mannitol-specific IIABC component
mtlD CDS,Sant_0100,forward,"113,521","114,674",Mannitol-1-phosphate 5-dehydrogenase
mtlR CDS,Sant_0101,forward,"114,652","115,283",Mannitol operon repressor
sodA CDS,Sant_0102,reverse,"115,468","116,085",Manganese superoxide dismutase
Formate dehydrogenase CDS,Sant_0103,reverse,"116,215","117,042",Formate dehydrogenase
hypothetical protein CDS,Sant_0104,forward,"117,224","117,831",hypothetical protein
yibF CDS,Sant_0105,forward,"118,397","119,040",Glutathione S-transferase family protein
Aldehyde dehydrogenase family protein CDS,Sant_0106,forward,"119,149","120,764",Aldehyde dehydrogenase family protein
Putative multidrug translocase CDS,Sant_0107,reverse,"120,778","122,075",Putative multidrug translocase
Acyltransferase 3 CDS,Sant_0108,forward,"122,259","123,271",Acyltransferase 3
AraC family transcriptional regulator CDS,Sant_0109,reverse,"123,493","124,434",AraC family transcriptional regulator
Isochorismatase family protein CDS,Sant_0110,reverse,"124,431","125,461",Isochorismatase family protein
ThiJ\PfpI domain-containing protein CDS,Sant_0111,reverse,"125,802","126,402",ThiJ\PfpI domain-containing protein
Glyoxalase/bleomycin resistance protein/dioxygenase CDS,Sant_0112,reverse,"126,638","126,994",Glyoxalase/bleomycin resistance protein/dioxygenase
hypothetical protein CDS,Sant_0113,forward,"127,201","128,760",hypothetical protein
Glyoxalase\bleomycin resistance protein\dioxygenase CDS,Sant_0114,reverse,"128,757","129,149",Glyoxalase\bleomycin resistance protein\dioxygenase
Cupin domain-containing protein CDS,Sant_0115,reverse,"129,186","129,709",Cupin domain-containing protein
Nitroreductase CDS,Sant_0116,forward,"129,873","130,481",Nitroreductase
Multidrug resistance protein CDS,Sant_0117,reverse,"130,806","132,018",Multidrug resistance protein
Metal dependent phosphohydrolase CDS,Sant_0118,reverse,"132,112","132,783",Metal dependent phosphohydrolase
MarR-family transcriptional regulator CDS,Sant_0119,forward,"132,842","133,301",MarR-family transcriptional regulator
Organic hydroperoxide resistance protein CDS,Sant_0120,forward,"133,434","133,869",Organic hydroperoxide resistance protein
eptB CDS,Sant_0121,forward,"134,100","135,816",Phosphoethanolamine transferase
proK tRNA,Sant_t0122,forward,"135,898","135,974",tRNA-Pro
flhD CDS,Sant_0123,forward,"136,999","137,343",Transcriptional activator
flhC CDS,Sant_0124,forward,"137,348","137,952",Flagellar transcriptional activator
motA CDS,Sant_0125,forward,"138,061","138,974",Chemotaxis protein
motB CDS,Sant_0126,forward,"138,971","140,213",Chemotaxis protein
flhB CDS,Sant_0127,forward,"140,447","141,612",Flagellar biosynthetic protein
flhA CDS,Sant_0128,forward,"141,593","143,691",Flagellar biosynthetic protein
flgN CDS,Sant_0129,reverse,"144,085","144,528",Flagellar synthesis protein
flgM CDS,Sant_0130,reverse,"144,567","144,842",Negative regulator of flagellin synthesis protein
flgA CDS,Sant_0131,reverse,"144,886","145,602",Flagellar basal body P-ring protein
flgB CDS,Sant_0132,forward,"145,785","146,198",Flagellar basal body rod protein
flgC CDS,Sant_0133,forward,"146,205","146,609",Flagellar basal body rod protein
flgD CDS,Sant_0134,forward,"146,621","147,439",Basal body rod modification protein
flgE CDS,Sant_0135,forward,"147,491","148,717",Flagellar hook protein
flgF CDS,Sant_0136,forward,"148,730","149,488",Flagellar basal body rod protein
flgG CDS,Sant_0137,forward,"149,509","150,291",Flagellar basal body rod protein
flgH CDS,Sant_0138,forward,"150,355","151,116",Flagellar L-ring protein precursor
flgI CDS,Sant_0139,forward,"151,147","152,244",Flagellar P-ring protein proecursor
flgJ CDS,Sant_0140,forward,"152,244","153,194",Flagellar protein
flgK CDS,Sant_0141,forward,"153,303","154,985",Flagellar hook-associated protein 1
flgL CDS,Sant_0142,forward,"155,043","155,983",Flagellar hook-associated protein 3
fliR CDS,Sant_0143,reverse,"156,034","156,823",Flagellar biosynthetic protein
fliQ CDS,Sant_0144,reverse,"156,829","157,100",Flagellar biosynthetic protein
fliP CDS,Sant_0145,reverse,"157,119","157,920",Flagellar biosynthetic protein
fliO CDS,Sant_0146,reverse,"157,923","158,301",Flagellar protein
fliN CDS,Sant_0147,reverse,"158,302","158,707",Flagellar motor switch protein
fliM CDS,Sant_0148,reverse,"158,700","159,733",Flagellar motor switch protein
fliL CDS,Sant_0149,reverse,"159,730","160,219",Flagellar basal body associated protein
fliK CDS,Sant_0150,reverse,"160,352","161,607",Flagellar hook length control protein
