Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,1,225,
gidA CDS,Sant_0001,forward,352,"2,241",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,259","2,879",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,515","3,896",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,905","4,725",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,775","5,014",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,072","5,542",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,557","6,091",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,104","7,645",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,726","8,604",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,637","10,019",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,067","10,489",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,777","12,153",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,302","14,137",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,307","15,500",hypothetical protein
pstS CDS,Sant_0015,forward,"15,676","16,716","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,763","17,722",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,722","18,615",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,654","19,430",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,445","20,182",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,526","21,209",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,117","22,551",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,565","23,458","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,694","24,461",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,476","24,958",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"24,955","26,154",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,212","26,985",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,128","29,333",hypothetical protein
proP CDS,Sant_0028,forward,"29,453","30,955",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,181","32,470",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,798","34,165",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,167","34,868",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,235","36,245",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,310","37,596",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,646","39,118",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,527","40,213","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,303","43,061",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,167","44,156","Transcriptional regulator, AraC family"
