Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,1,225,
gidA CDS,Sant_0001,forward,353,"2,245",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,263","2,885",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,521","3,901",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,910","4,737",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,787","5,028",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,086","5,556",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,571","6,106",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,119","7,691",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,742","8,610",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,643","10,125",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,146","10,582",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,868","12,244",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,393","14,227",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,402","15,595",hypothetical protein
pstS CDS,Sant_0015,forward,"15,771","16,811","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,858","17,817",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,817","18,710",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,749","19,525",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,540","20,277",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,621","21,304",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,212","22,646",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,660","23,553","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,789","24,556",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,571","25,053",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,050","26,249",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,307","27,080",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,223","29,428",hypothetical protein
proP CDS,Sant_0028,forward,"29,548","31,050",Proline/glycine betaine transporter
