Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,107,331,
gidA CDS,Sant_0001,forward,457,"2,346",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,365","2,990",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,632","4,014",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,023","4,841",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,891","5,130",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,189","5,659",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,674","6,207",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,220","7,761",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,812","8,675",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,708","10,093",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,114","10,536",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,820","12,196",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,345","14,177",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,348","15,543",hypothetical protein
pstS CDS,Sant_0015,forward,"15,720","16,764","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,811","17,774",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,774","18,672",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,711","19,488",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,503","20,247",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,592","21,276",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,184","22,619",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,633","23,530","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,766","24,533",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,548","25,030",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,027","26,226",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,284","27,061",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,208","29,415",hypothetical protein
proP CDS,Sant_0028,forward,"29,535","31,055",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,282","32,576",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,904","34,275",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,277","34,979",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,347","36,357",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,422","37,708",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,758","39,230",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,639","40,325","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,420","43,178",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,284","44,274","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,500","47,483",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,491","47,871",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,868","48,923",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,925","50,243",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,285","51,543",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,707","52,617",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,708","53,092","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,230","53,757",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,754","55,027",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,599","57,651",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,666","57,923","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"57,966","58,412","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,426","58,741","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,763","59,843","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,884","61,602",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,716","62,576","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,683","63,090",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,180","64,441",Phosphonoacetate hydrolase
