Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,180,404,
gidA CDS,Sant_0001,forward,531,"2,420",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,438","3,068",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,741","4,122",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,131","4,949",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,999","5,238",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,297","5,771",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,786","6,338",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,351","7,892",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,945","8,808",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,841","10,224",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,245","10,667",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,953","12,329",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,478","14,310",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,481","15,691",hypothetical protein
pstS CDS,Sant_0015,forward,"15,867","16,907","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,954","17,913",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,913","18,806",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,845","19,621",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,636","20,373",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,717","21,400",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,308","22,742",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,756","23,649","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,885","24,652",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,667","25,149",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,146","26,345",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,403","27,176",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,319","29,524",hypothetical protein
proP CDS,Sant_0028,forward,"29,644","31,146",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,372","32,661",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,989","34,356",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,358","35,059",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,426","36,436",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,501","37,787",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,837","39,309",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,718","40,404","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,494","43,252",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,358","44,347","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,572","47,555",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,563","47,943",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,940","48,992",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,994","50,307",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,349","51,593",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,757","52,662",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,752","53,135","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,272","53,799",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,796","55,067",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,639","57,687",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,702","57,959","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"58,002","58,448","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,462","58,776","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,798","59,874","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,915","61,633",Phosphoenolpyruvate-protein phosphotransferase
