Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,213,437,
gidA CDS,Sant_0001,forward,563,"2,452",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,470","3,097",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,733","4,123",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,132","4,950",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"5,004","5,243",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,301","5,771",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,789","6,323",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,336","7,877",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,929","8,792",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,825","10,210",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,232","10,654",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,944","12,320",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,474","14,306",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,484","15,677",hypothetical protein
pstS CDS,Sant_0015,forward,"15,853","16,893","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,940","17,901",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,901","18,794",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,833","19,616",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,631","20,368",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,712","21,395",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,303","22,737",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,751","23,644","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,880","24,647",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,662","25,144",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,141","26,340",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,398","27,171",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,314","29,519",hypothetical protein
proP CDS,Sant_0028,forward,"29,639","31,141",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,367","32,656",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,984","34,351",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,353","35,067",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,434","36,444",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,509","37,795",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,845","39,317",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,726","40,412","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,502","43,260",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,366","44,355","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,580","47,563",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,571","47,951",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,948","49,000",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"49,002","50,315",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,357","51,601",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,765","52,670",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,760","53,143","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,280","53,807",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,804","55,075",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,647","57,695",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,710","57,967","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"58,010","58,456","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,470","58,784","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,806","59,882","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,923","61,641",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,755","62,615","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,722","63,129",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,219","64,469",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,503","65,312",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,305","66,075",Phsophonate ABC transporter
Phosphonate ABC transporter periplasmic phosphate-binding protein CDS,Sant_0058,reverse,"66,077","66,959",Phosphonate ABC transporter periplasmic phosphate-binding protein
GntR-family transcriptional regulator CDS,Sant_0059,forward,"67,096","67,770",GntR-family transcriptional regulator
6-phospho 3-hexuloisomerase CDS,Sant_0060,reverse,"68,006","68,569",6-phospho 3-hexuloisomerase
3-hexulose-6-phosphate synthase CDS,Sant_0061,reverse,"68,562","69,203",3-hexulose-6-phosphate synthase
Dak1 domain-containing protein CDS,Sant_0062,reverse,"69,222","70,223",Dak1 domain-containing protein
"Dihydroxyacetone kinase, L subunit CDS",Sant_0063,reverse,"70,204","70,869","Dihydroxyacetone kinase, L subunit"
Mannitol-1-phosphate 5-dehydrogenase CDS,Sant_0064,reverse,"70,894","72,033",Mannitol-1-phosphate 5-dehydrogenase
PTS system mannose/fructose/sorbose family IID component CDS,Sant_0065,reverse,"72,045","72,875",PTS system mannose/fructose/sorbose family IID component
putative PTS system IIC component CDS,Sant_0066,reverse,"72,872","73,609",putative PTS system IIC component
putative PTS system IIB component CDS,Sant_0067,reverse,"73,612","74,109",putative PTS system IIB component
putative PTS system IIA component CDS,Sant_0068,reverse,"74,102","74,524",putative PTS system IIA component
sorbitol-6-phosphate 2-dehydrogenase CDS,Sant_0069,reverse,"74,552","75,358",sorbitol-6-phosphate 2-dehydrogenase
Transcriptional regulator of PTS system CDS,Sant_0070,reverse,"75,462","78,099",Transcriptional regulator of PTS system
trmE CDS,Sant_0071,reverse,"78,516","79,880",tRNA modification GTPase
yidC CDS,Sant_0072,reverse,"79,990","81,633",Membrane protein
yidD CDS,Sant_0073,reverse,"81,636","81,894",membrane protein
rnpA CDS,Sant_0074,reverse,"81,858","82,217",Ribonuclease P protein component
rpmH CDS,Sant_0075,reverse,"82,235","82,378",50S ribosomal protein L34
hypothetical protein CDS,Sant_0076,forward,"82,647","82,802",hypothetical protein
dnaA CDS,Sant_0077,forward,"83,022","84,416",Chromosomal replication initiator protein
dnaN CDS,Sant_0078,forward,"84,419","85,519",DNA polymerase III beta-subunit
