name,tag,oNamCol,product
Sant_0000,Sant_0000,rep origin,Origin of Replication
gidA,Sant_0001,gidA,TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB,Sant_0002,gidB,Ribosomal RNA small subunit methyltransferase G
atpI,Sant_0003,atpI,F0F1 ATP synthase subunit I
atpB,Sant_0004,atpB,F0F1 ATP synthase subunit A
atpE,Sant_0005,atpE,F0F1 ATP synthase subunit C
atpF,Sant_0006,atpF,F0F1 ATP synthase subunit B
atpH,Sant_0007,atpH,F0F1 ATP synthase subunit delta
atpA,Sant_0008,atpA,F0F1 ATP synthase subunit alpha
atpG,Sant_0009,atpG,F0F1 ATP synthase subunit gamma
atpD,Sant_0010,atpD,F0F1 ATP synthase subunit beta
atpC,Sant_0011,atpC,F0F1 ATP synthase subunit epsilon
glmU,Sant_0012,glmU,Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS,Sant_0013,glmS,Glucosamine-fructose-6-phosphate aminotransferase
Sant_0014,Sant_0014,hypothetical protein,hypothetical protein
pstS,Sant_0015,pstS,Phosphate ABC transporter periplasmic phosphate-binding protein
pstC,Sant_0016,pstC,Phosphate transporter permease subunit
pstA,Sant_0017,pstA,Phosphate transporter permease subunit
pstB,Sant_0018,pstB,Phosphate transporter ATP-binding protein
phoU,Sant_0019,phoU,Phosphate uptake regulator
Sant_0020,Sant_0020,6-phosphogluconate phosphatase,6-phosphogluconate phosphatase
Sant_0021,Sant_0021,N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component,N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE,Sant_0022,agaE,PTS system N-acetylgalactosamine-specific IID component
agaW,Sant_0023,agaW,PTS system N-acetylgalactosameine-specific IIC component
agaV,Sant_0024,agaV,N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1,Sant_0025,agaS1,Tagatose-6-phosphate ketose/aldose isomerase
agaR,Sant_0026,agaR,Aga operon transcriptional repressor of sugar metabolism
Sant_0027,Sant_0027,hypothetical protein,hypothetical protein
proP,Sant_0028,proP,Proline/glycine betaine transporter
arsB,Sant_0029,arsB,Arsenite/antimonite transporter
Sant_0030,Sant_0030,Permease of the major facilitator superfamily,Permease of the major facilitator superfamily
Sant_0031,Sant_0031,Cyclase family protein,Cyclase family protein
Sant_0032,Sant_0032,Starvation sensing zinc-binding dehydrogenase,Starvation sensing zinc-binding dehydrogenase
Sant_0033,Sant_0033,Major facilitator transporter,Major facilitator transporter
Sant_0034,Sant_0034,Mannitol dehydrogenase domain protein,Mannitol dehydrogenase domain protein
Sant_0035,Sant_0035,Transcriptional regulator GntR family,Transcriptional regulator GntR family
Sant_0036,Sant_0036,hypothetical protein,hypothetical protein
Sant_0037,Sant_0037,Transcriptional regulator AraC family,Transcriptional regulator AraC family
Sant_0038,Sant_0038,Putative Mucin-2 like methyltransferase,Putative Mucin-2 like methyltransferase
Sant_0039,Sant_0039,hypothetical protein,hypothetical protein
Sant_0040,Sant_0040,Putative histidinol-phosphate aminotransferase,Putative histidinol-phosphate aminotransferase
Sant_0041,Sant_0041,MATE efflux family protein,MATE efflux family protein
Sant_0042,Sant_0042,Putative amino acid ligase of ATP-grasp superfamily,Putative amino acid ligase of ATP-grasp superfamily
Sant_0043,Sant_0043,Alpha/beta hydrolase fold protein,Alpha/beta hydrolase fold protein
Sant_0044,Sant_0044,Transcriptional regulator MerR family protein,Transcriptional regulator MerR family protein
Sant_0045,Sant_0045,HxlR family transcriptional regulator,HxlR family transcriptional regulator
Sant_0046,Sant_0046,3-oxoacyl-(acyl carrier protein) synthase II,3-oxoacyl-(acyl carrier protein) synthase II
manR,Sant_0047,manR,PTS modulated transcriptional antiterminator
Sant_0048,Sant_0048,Phosphocarrier HPr family,Phosphocarrier HPr family
Sant_0049,Sant_0049,PTS system fructose specific enzyme IIA component,PTS system fructose specific enzyme IIA component
Sant_0050,Sant_0050,PTS system fructose-specific IIB component,PTS system fructose-specific IIB component
Sant_0051,Sant_0051,PTS system fructose specific enzyme IIC component,PTS system fructose specific enzyme IIC component
Sant_0052,Sant_0052,Phosphoenolpyruvate-protein phosphotransferase,Phosphoenolpyruvate-protein phosphotransferase
Sant_0053,Sant_0053,Fructose-16-bisphosphate aldolase class II,Fructose-16-bisphosphate aldolase class II
Sant_0054,Sant_0054,hypothetical protein,hypothetical protein
Sant_0055,Sant_0055,Phosphonoacetate hydrolase,Phosphonoacetate hydrolase
Sant_0056,Sant_0056,Phosphonate transport systems inner membrane component,Phosphonate transport systems inner membrane component
Sant_0057,Sant_0057,Phsophonate ABC transporter,Phsophonate ABC transporter
Sant_0058,Sant_0058,Phosphonate ABC transporter periplasmic phosphate-binding protein,Phosphonate ABC transporter periplasmic phosphate-binding protein
Sant_0059,Sant_0059,GntR-family transcriptional regulator,GntR-family transcriptional regulator
