Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,79,303,
gidA CDS,Sant_0001,forward,429,"2,318",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,336","2,968",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,614","3,997",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,006","4,824",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,874","5,113",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,171","5,644",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,659","6,192",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,206","7,747",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,798","8,669",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,702","10,084",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,106","10,528",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,813","12,189",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,338","14,170",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,340","15,533",hypothetical protein
pstS CDS,Sant_0015,forward,"15,709","16,750","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,797","17,756",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,756","18,649",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,688","19,464",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,479","20,217",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,561","21,244",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,152","22,586",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,600","23,493","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,729","24,496",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,511","24,993",N-acetylgalactosamine-specific enzyme IIB component of PTS
