Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,236,460,
gidA CDS,Sant_0001,forward,586,"2,475",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,493","3,113",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,749","4,129",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,138","4,956",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"5,006","5,245",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,303","5,773",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,788","6,321",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,336","7,879",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,930","8,793",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,826","10,208",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,229","10,651",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,937","12,313",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,462","14,294",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,464","15,659",hypothetical protein
pstS CDS,Sant_0015,forward,"15,836","16,878","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,925","17,884",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,884","18,777",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,816","19,592",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,607","20,345",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,689","21,372",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,287","22,721",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,735","23,628","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,864","24,631",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,646","25,128",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,125","26,334",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,392","27,165",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,308","29,513",hypothetical protein
proP CDS,Sant_0028,forward,"29,633","31,135",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,361","32,650",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,978","34,355",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,357","35,058",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,433","36,443",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,508","37,794",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,844","39,316",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,725","40,411","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,501","43,259",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,365","44,354","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,579","47,563",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,571","47,951",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,948","49,001",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"49,003","50,316",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,358","51,604",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,769","52,675",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,765","53,149","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,302","53,829",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,826","55,101",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,680","57,729",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,744","58,001","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"58,044","58,491","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,505","58,819","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,841","59,919","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,960","61,683",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,797","62,676","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,783","63,190",hypothetical protein
