Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,185,409,
gidA CDS,Sant_0001,forward,536,"2,425",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,444","3,067",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,709","4,089",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,098","4,920",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,970","5,209",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,267","5,741",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,760","6,298",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,311","7,879",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,930","8,793",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,826","10,208",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,229","10,651",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,935","12,311",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,460","14,295",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,467","15,666",hypothetical protein
pstS CDS,Sant_0015,forward,"15,842","16,882","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,929","17,888",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,888","18,781",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,820","19,596",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,611","20,348",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,692","21,375",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,283","22,717",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,731","23,624","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,860","24,627",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,642","25,124",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,121","26,320",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,378","27,151",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,294","29,499",hypothetical protein
proP CDS,Sant_0028,forward,"29,619","31,121",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,347","32,636",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,964","34,331",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,333","35,034",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,401","36,411",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,476","37,762",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,812","39,284",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,693","40,379","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,469","43,227",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,333","44,322","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,547","47,530",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,538","47,918",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,915","48,967",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,969","50,282",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,324","51,568",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,732","52,637",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,727","53,110","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,247","53,774",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,771","55,042",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,614","57,662",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,677","57,934","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"57,977","58,423","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,437","58,751","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,773","59,849","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,890","61,608",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,722","62,582","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,689","63,096",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,186","64,437",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,471","65,280",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,273","66,043",Phsophonate ABC transporter
Phosphonate ABC transporter periplasmic phosphate-binding protein CDS,Sant_0058,reverse,"66,045","66,926",Phosphonate ABC transporter periplasmic phosphate-binding protein
GntR-family transcriptional regulator CDS,Sant_0059,forward,"67,063","67,737",GntR-family transcriptional regulator
6-phospho 3-hexuloisomerase CDS,Sant_0060,reverse,"67,973","68,536",6-phospho 3-hexuloisomerase
3-hexulose-6-phosphate synthase CDS,Sant_0061,reverse,"68,529","69,170",3-hexulose-6-phosphate synthase
Dak1 domain-containing protein CDS,Sant_0062,reverse,"69,189","70,190",Dak1 domain-containing protein
