Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,174,399,
gidA CDS,Sant_0001,forward,525,"2,415",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,433","3,055",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,703","4,085",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,094","4,912",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,963","5,202",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,260","5,730",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,745","6,278",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,291","7,832",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,886","8,750",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,783","10,165",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,186","10,608",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,895","12,273",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,423","14,255",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,425","15,629",hypothetical protein
pstS CDS,Sant_0015,forward,"15,806","16,852","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,901","17,866",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,866","18,759",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,798","19,574",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,589","20,326",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,670","21,362",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,273","22,719",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,733","23,626","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,862","24,629",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,644","25,126",N-acetylgalactosamine-specific enzyme IIB component of PTS
