Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,1,225,
gidA CDS,Sant_0001,forward,356,"2,245",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,263","2,884",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,522","3,920",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,929","4,772",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,822","5,063",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,121","5,592",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,607","6,143",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,156","7,697",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,751","8,622",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,655","10,087",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,108","10,561",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,853","12,229",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,380","14,215",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,388","15,581",hypothetical protein
pstS CDS,Sant_0015,forward,"15,757","16,797","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,844","17,803",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,803","18,696",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,735","19,511",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,526","20,263",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,607","21,290",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,198","22,632",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,646","23,539","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,775","24,542",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,557","25,039",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,036","26,235",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,293","27,066",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,209","29,414",hypothetical protein
proP CDS,Sant_0028,forward,"29,534","31,036",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,262","32,551",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,879","34,246",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,248","34,949",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,316","36,326",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,391","37,677",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,727","39,199",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,608","40,294","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,384","43,142",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,248","44,237","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,462","47,445",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,453","47,833",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,830","48,882",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,884","50,197",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,239","51,483",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,647","52,552",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,642","53,025","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,162","53,689",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,686","54,957",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,529","57,577",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,592","57,849","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"57,892","58,338","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,352","58,666","PTS system, fructose-specific, IIB component"
