Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,236,460,
gidA CDS,Sant_0001,forward,587,"2,477",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,495","3,121",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,761","4,143",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,152","4,970",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"5,021","5,260",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,318","5,788",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,803","6,336",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,349","7,891",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,943","8,806",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,839","10,222",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,243","10,665",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,952","12,329",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,482","14,314",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,484","15,707",hypothetical protein
pstS CDS,Sant_0015,forward,"15,883","16,923","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,970","17,929",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,929","18,822",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,861","19,637",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,652","20,389",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,733","21,416",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,324","22,758",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,772","23,665","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,901","24,668",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,683","25,165",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,162","26,361",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,419","27,192",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,335","29,540",hypothetical protein
proP CDS,Sant_0028,forward,"29,660","31,162",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,388","32,677",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"33,005","34,372",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,374","35,075",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,442","36,474",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,542","37,849",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,905","39,377",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,786","40,472","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,562","43,320",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,426","44,435","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,661","47,645",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,653","48,033",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"48,030","49,082",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"49,084","50,399",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,441","51,685",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,849","52,754",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,844","53,227","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,364","53,891",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,888","55,159",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,731","57,779",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,794","58,051","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"58,094","58,540","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,554","58,868","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,890","59,966","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"60,007","61,725",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,839","62,699","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,806","63,213",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,303","64,553",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,587","65,396",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,389","66,161",Phsophonate ABC transporter
Phosphonate ABC transporter periplasmic phosphate-binding protein CDS,Sant_0058,reverse,"66,163","67,047",Phosphonate ABC transporter periplasmic phosphate-binding protein
GntR-family transcriptional regulator CDS,Sant_0059,forward,"67,184","67,858",GntR-family transcriptional regulator
6-phospho 3-hexuloisomerase CDS,Sant_0060,reverse,"68,094","68,657",6-phospho 3-hexuloisomerase
3-hexulose-6-phosphate synthase CDS,Sant_0061,reverse,"68,650","69,291",3-hexulose-6-phosphate synthase
Dak1 domain-containing protein CDS,Sant_0062,reverse,"69,310","70,311",Dak1 domain-containing protein
"Dihydroxyacetone kinase, L subunit CDS",Sant_0063,reverse,"70,292","70,957","Dihydroxyacetone kinase, L subunit"
Mannitol-1-phosphate 5-dehydrogenase CDS,Sant_0064,reverse,"70,982","72,122",Mannitol-1-phosphate 5-dehydrogenase
PTS system mannose/fructose/sorbose family IID component CDS,Sant_0065,reverse,"72,134","72,964",PTS system mannose/fructose/sorbose family IID component
putative PTS system IIC component CDS,Sant_0066,reverse,"72,961","73,702",putative PTS system IIC component
putative PTS system IIB component CDS,Sant_0067,reverse,"73,705","74,202",putative PTS system IIB component
putative PTS system IIA component CDS,Sant_0068,reverse,"74,195","74,617",putative PTS system IIA component
sorbitol-6-phosphate 2-dehydrogenase CDS,Sant_0069,reverse,"74,645","75,451",sorbitol-6-phosphate 2-dehydrogenase
Transcriptional regulator of PTS system CDS,Sant_0070,reverse,"75,555","78,206",Transcriptional regulator of PTS system
trmE CDS,Sant_0071,reverse,"78,634","80,008",tRNA modification GTPase
yidC CDS,Sant_0072,reverse,"80,118","81,769",Membrane protein
yidD CDS,Sant_0073,reverse,"81,772","82,041",membrane protein
rnpA CDS,Sant_0074,reverse,"82,005","82,370",Ribonuclease P protein component
rpmH CDS,Sant_0075,reverse,"82,388","82,531",50S ribosomal protein L34
hypothetical protein CDS,Sant_0076,forward,"82,801","82,956",hypothetical protein
dnaA CDS,Sant_0077,forward,"83,171","84,570",Chromosomal replication initiator protein
dnaN CDS,Sant_0078,forward,"84,573","85,674",DNA polymerase III beta-subunit
recF CDS,Sant_0079,forward,"85,701","86,811",DNA replication and repair protein
gyrB CDS,Sant_0080,forward,"86,831","89,247",DNA gyrase subunit B
yidA CDS,Sant_0081,forward,"89,772","90,622",Sugar phosphatase
dgoR CDS,Sant_0082,forward,"90,797","91,509",Galactonate operon transcriptional repressor
dgoK CDS,Sant_0083,forward,"91,506","92,403",2-dehydro-3-deoxygalactonokinase
2-dehydro-3-deoxyphosphogalactonate aldolase CDS,Sant_0084,forward,"92,390","93,010",2-dehydro-3-deoxyphosphogalactonate aldolase
Pathogenicity island effector protein CDS,Sant_0085,reverse,"93,336","94,499",Pathogenicity island effector protein
Galactonate dehydratase CDS,Sant_0086,forward,"95,164","96,312",Galactonate dehydratase
dgoT CDS,Sant_0087,forward,"96,432","97,727",D-galactonate transporter
Ankyrin repeat domain protein CDS,Sant_0088,reverse,"98,093","100,051",Ankyrin repeat domain protein
Putative lipoprotein CDS,Sant_0089,reverse,"100,223","100,549",Putative lipoprotein
ibpA CDS,Sant_0090,forward,"100,855","101,269",Heat shock protein A
ibpB CDS,Sant_0091,forward,"101,374","101,829",Heat shock protein B
avtA CDS,Sant_0092,reverse,"102,011","103,287",Valine-pyruvate aminotransferase
Putative transmembrane protein CDS,Sant_0093,reverse,"103,554","104,562",Putative transmembrane protein
D-isomer specific 2-hydroxyacid dehydrogenase CDS,Sant_0094,reverse,"105,072","106,080",D-isomer specific 2-hydroxyacid dehydrogenase
Putative acetyltransferase CDS,Sant_0095,reverse,"106,231","106,709",Putative acetyltransferase
glyQ CDS,Sant_0096,forward,"106,955","107,869",Glycyl-tRNA synthetase subunit alpha
glyS CDS,Sant_0097,forward,"107,879","109,958",Glycyl-tRNA synthetase beta chain
Lipoprotein CDS,Sant_0098,forward,"110,117","110,843",Lipoprotein
mtlA CDS,Sant_0099,forward,"111,438","113,372",PTS system mannitol-specific IIABC component
mtlD CDS,Sant_0100,forward,"113,471","114,620",Mannitol-1-phosphate 5-dehydrogenase
mtlR CDS,Sant_0101,forward,"114,598","115,235",Mannitol operon repressor
sodA CDS,Sant_0102,reverse,"115,422","116,039",Manganese superoxide dismutase
Formate dehydrogenase CDS,Sant_0103,reverse,"116,170","116,999",Formate dehydrogenase
hypothetical protein CDS,Sant_0104,forward,"117,181","117,783",hypothetical protein
yibF CDS,Sant_0105,forward,"118,348","118,989",Glutathione S-transferase family protein
Aldehyde dehydrogenase family protein CDS,Sant_0106,forward,"119,097","120,699",Aldehyde dehydrogenase family protein
Putative multidrug translocase CDS,Sant_0107,reverse,"120,713","121,999",Putative multidrug translocase
Acyltransferase 3 CDS,Sant_0108,forward,"122,180","123,190",Acyltransferase 3
AraC family transcriptional regulator CDS,Sant_0109,reverse,"123,410","124,336",AraC family transcriptional regulator
Isochorismatase family protein CDS,Sant_0110,reverse,"124,333","125,352",Isochorismatase family protein
