Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,1,226,
gidA CDS,Sant_0001,forward,352,"2,241",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,259","2,879",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,515","3,899",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,908","4,726",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,780","5,019",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,078","5,550",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,565","6,099",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,112","7,653",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,704","8,567",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,600","9,982",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,004","10,427",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,711","12,087",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,239","14,071",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,241","15,434",hypothetical protein
pstS CDS,Sant_0015,forward,"15,610","16,650","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,697","17,656",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,656","18,549",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,588","19,364",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,379","20,116",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,460","21,143",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,051","22,485",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
