Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,1,225,
gidA CDS,Sant_0001,forward,351,"2,240",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,258","2,894",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,539","3,924",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,933","4,797",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,850","5,093",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,151","5,630",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,645","6,185",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,198","7,748",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,800","8,681",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,715","10,110",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,132","10,558",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,843","12,219",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,368","14,201",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,372","15,573",hypothetical protein
pstS CDS,Sant_0015,forward,"15,752","16,792","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,839","17,798",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,798","18,691",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,730","19,506",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,521","20,258",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,602","21,285",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,193","22,627",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,641","23,534","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,770","24,537",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,552","25,034",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,031","26,230",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,288","27,061",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,204","29,409",hypothetical protein
proP CDS,Sant_0028,forward,"29,529","31,031",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,257","32,546",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,874","34,241",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,243","34,944",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,311","36,321",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,389","37,694",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,744","39,216",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,625","40,311","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,401","43,159",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,265","44,254","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,480","47,464",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,472","47,852",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,849","48,901",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,903","50,221",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,268","51,513",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,677","52,582",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,672","53,055","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,192","53,722",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,719","54,996",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,569","57,625",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,640","57,897","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"57,940","58,386","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,400","58,715","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,737","59,813","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,854","61,582",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,696","62,559","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,666","63,078",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,168","64,420",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,454","65,263",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,256","66,026",Phsophonate ABC transporter
Phosphonate ABC transporter periplasmic phosphate-binding protein CDS,Sant_0058,reverse,"66,028","66,910",Phosphonate ABC transporter periplasmic phosphate-binding protein
GntR-family transcriptional regulator CDS,Sant_0059,forward,"67,047","67,731",GntR-family transcriptional regulator
6-phospho 3-hexuloisomerase CDS,Sant_0060,reverse,"67,967","68,534",6-phospho 3-hexuloisomerase
3-hexulose-6-phosphate synthase CDS,Sant_0061,reverse,"68,527","69,174",3-hexulose-6-phosphate synthase
Dak1 domain-containing protein CDS,Sant_0062,reverse,"69,198","70,207",Dak1 domain-containing protein
"Dihydroxyacetone kinase, L subunit CDS",Sant_0063,reverse,"70,188","70,856","Dihydroxyacetone kinase, L subunit"
Mannitol-1-phosphate 5-dehydrogenase CDS,Sant_0064,reverse,"70,881","72,033",Mannitol-1-phosphate 5-dehydrogenase
PTS system mannose/fructose/sorbose family IID component CDS,Sant_0065,reverse,"72,045","72,876",PTS system mannose/fructose/sorbose family IID component
putative PTS system IIC component CDS,Sant_0066,reverse,"72,873","73,614",putative PTS system IIC component
putative PTS system IIB component CDS,Sant_0067,reverse,"73,617","74,114",putative PTS system IIB component
putative PTS system IIA component CDS,Sant_0068,reverse,"74,107","74,529",putative PTS system IIA component
sorbitol-6-phosphate 2-dehydrogenase CDS,Sant_0069,reverse,"74,557","75,365",sorbitol-6-phosphate 2-dehydrogenase
Transcriptional regulator of PTS system CDS,Sant_0070,reverse,"75,474","78,133",Transcriptional regulator of PTS system
trmE CDS,Sant_0071,reverse,"78,568","79,932",tRNA modification GTPase
yidC CDS,Sant_0072,reverse,"80,031","81,682",Membrane protein
yidD CDS,Sant_0073,reverse,"81,685","81,942",membrane protein
rnpA CDS,Sant_0074,reverse,"81,906","82,265",Ribonuclease P protein component
rpmH CDS,Sant_0075,reverse,"82,283","82,426",50S ribosomal protein L34
hypothetical protein CDS,Sant_0076,forward,"82,694","82,851",hypothetical protein
dnaA CDS,Sant_0077,forward,"83,066","84,461",Chromosomal replication initiator protein
dnaN CDS,Sant_0078,forward,"84,464","85,564",DNA polymerase III beta-subunit
recF CDS,Sant_0079,forward,"85,591","86,693",DNA replication and repair protein
gyrB CDS,Sant_0080,forward,"86,713","89,127",DNA gyrase subunit B
yidA CDS,Sant_0081,forward,"89,647","90,502",Sugar phosphatase
dgoR CDS,Sant_0082,forward,"90,677","91,381",Galactonate operon transcriptional repressor
dgoK CDS,Sant_0083,forward,"91,378","92,284",2-dehydro-3-deoxygalactonokinase
2-dehydro-3-deoxyphosphogalactonate aldolase CDS,Sant_0084,forward,"92,271","92,895",2-dehydro-3-deoxyphosphogalactonate aldolase
Pathogenicity island effector protein CDS,Sant_0085,reverse,"93,227","94,396",Pathogenicity island effector protein
Galactonate dehydratase CDS,Sant_0086,forward,"95,064","96,213",Galactonate dehydratase
dgoT CDS,Sant_0087,forward,"96,334","97,638",D-galactonate transporter
Ankyrin repeat domain protein CDS,Sant_0088,reverse,"98,004","99,957",Ankyrin repeat domain protein
Putative lipoprotein CDS,Sant_0089,reverse,"100,129","100,466",Putative lipoprotein
