Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,186,413,
gidA CDS,Sant_0001,forward,540,"2,429",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,447","3,073",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,713","4,095",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,104","4,922",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,973","5,212",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,270","5,740",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,755","6,288",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,301","7,842",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,893","8,756",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,789","10,172",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,193","10,615",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,902","12,278",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,431","14,263",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,433","15,649",hypothetical protein
pstS CDS,Sant_0015,forward,"15,825","16,865","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,912","17,871",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,871","18,764",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,803","19,579",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,594","20,331",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,675","21,358",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,266","22,700",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,714","23,607","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,843","24,610",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,625","25,107",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,104","26,303",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,361","27,134",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,277","29,482",hypothetical protein
proP CDS,Sant_0028,forward,"29,602","31,104",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,330","32,620",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,948","34,315",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,317","35,018",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,385","36,416",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,484","37,882",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,938","39,413",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,822","40,508","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,598","43,356",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,462","44,466","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,692","47,676",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,684","48,064",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"48,061","49,113",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"49,115","50,430",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,472","51,716",Putative amino acid ligase of ATP-grasp superfamily
