Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,23,247,
gidA CDS,Sant_0001,forward,373,"2,262",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,280","2,906",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,542","3,922",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,931","4,749",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,799","5,038",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,099","5,569",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,584","6,117",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,130","7,671",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,723","8,586",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,622","10,004",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,026","10,448",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,737","12,113",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,262","14,094",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,264","15,457",hypothetical protein
pstS CDS,Sant_0015,forward,"15,633","16,673","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,720","17,679",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,679","18,572",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,611","19,387",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,402","20,139",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,483","21,166",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,074","22,508",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,522","23,415","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,651","24,418",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,433","24,915",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"24,912","26,111",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,169","26,942",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,085","29,290",hypothetical protein
proP CDS,Sant_0028,forward,"29,410","30,912",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,138","32,427",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,755","34,122",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,124","34,825",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,192","36,202",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,267","37,579",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,629","39,101",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,510","40,196","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,286","43,044",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,150","44,140","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,365","47,348",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,356","47,736",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,733","48,785",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,787","50,100",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,142","51,386",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,550","52,455",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,545","52,928","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,065","53,592",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,589","54,860",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,432","57,480",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,495","57,752","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"57,795","58,241","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,255","58,569","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,591","59,667","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,708","61,426",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,540","62,400","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,507","62,914",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,004","64,254",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,288","65,097",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,090","65,860",Phsophonate ABC transporter
Phosphonate ABC transporter periplasmic phosphate-binding protein CDS,Sant_0058,reverse,"65,862","66,743",Phosphonate ABC transporter periplasmic phosphate-binding protein
GntR-family transcriptional regulator CDS,Sant_0059,forward,"66,880","67,554",GntR-family transcriptional regulator
6-phospho 3-hexuloisomerase CDS,Sant_0060,reverse,"67,790","68,353",6-phospho 3-hexuloisomerase
3-hexulose-6-phosphate synthase CDS,Sant_0061,reverse,"68,346","68,987",3-hexulose-6-phosphate synthase
Dak1 domain-containing protein CDS,Sant_0062,reverse,"69,006","70,007",Dak1 domain-containing protein
"Dihydroxyacetone kinase, L subunit CDS",Sant_0063,reverse,"69,988","70,653","Dihydroxyacetone kinase, L subunit"
Mannitol-1-phosphate 5-dehydrogenase CDS,Sant_0064,reverse,"70,678","71,817",Mannitol-1-phosphate 5-dehydrogenase
PTS system mannose/fructose/sorbose family IID component CDS,Sant_0065,reverse,"71,829","72,659",PTS system mannose/fructose/sorbose family IID component
putative PTS system IIC component CDS,Sant_0066,reverse,"72,656","73,393",putative PTS system IIC component
putative PTS system IIB component CDS,Sant_0067,reverse,"73,396","73,893",putative PTS system IIB component
putative PTS system IIA component CDS,Sant_0068,reverse,"73,886","74,308",putative PTS system IIA component
sorbitol-6-phosphate 2-dehydrogenase CDS,Sant_0069,reverse,"74,336","75,142",sorbitol-6-phosphate 2-dehydrogenase
Transcriptional regulator of PTS system CDS,Sant_0070,reverse,"75,246","77,886",Transcriptional regulator of PTS system
trmE CDS,Sant_0071,reverse,"78,305","79,669",tRNA modification GTPase
yidC CDS,Sant_0072,reverse,"79,770","81,413",Membrane protein
yidD CDS,Sant_0073,reverse,"81,416","81,675",membrane protein
rnpA CDS,Sant_0074,reverse,"81,639","81,998",Ribonuclease P protein component
rpmH CDS,Sant_0075,reverse,"82,018","82,161",50S ribosomal protein L34
hypothetical protein CDS,Sant_0076,forward,"82,432","82,588",hypothetical protein
dnaA CDS,Sant_0077,forward,"82,803","84,199",Chromosomal replication initiator protein
dnaN CDS,Sant_0078,forward,"84,202","85,302",DNA polymerase III beta-subunit
recF CDS,Sant_0079,forward,"85,329","86,426",DNA replication and repair protein
gyrB CDS,Sant_0080,forward,"86,445","88,862",DNA gyrase subunit B
yidA CDS,Sant_0081,forward,"89,386","90,228",Sugar phosphatase
dgoR CDS,Sant_0082,forward,"90,403","91,103",Galactonate operon transcriptional repressor
dgoK CDS,Sant_0083,forward,"91,100","91,993",2-dehydro-3-deoxygalactonokinase
2-dehydro-3-deoxyphosphogalactonate aldolase CDS,Sant_0084,forward,"91,980","92,600",2-dehydro-3-deoxyphosphogalactonate aldolase
Pathogenicity island effector protein CDS,Sant_0085,reverse,"92,926","94,089",Pathogenicity island effector protein
