Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,1,225,
gidA CDS,Sant_0001,forward,352,"2,241",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,259","2,880",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,517","3,897",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,906","4,725",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,775","5,014",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,072","5,546",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,561","6,097",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,110","7,654",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,706","8,580",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,613","9,997",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,018","10,448",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,738","12,114",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,273","14,105",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,275","15,468",hypothetical protein
pstS CDS,Sant_0015,forward,"15,645","16,685","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,732","17,691",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,691","18,596",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,635","19,411",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,426","20,165",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,509","21,192",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,100","22,534",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,548","23,443","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,679","24,446",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,461","24,943",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"24,940","26,139",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,197","26,970",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,113","29,318",hypothetical protein
proP CDS,Sant_0028,forward,"29,438","30,940",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,166","32,455",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,783","34,150",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,152","34,853",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,220","36,230",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,295","37,590",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,640","39,112",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,521","40,207","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,298","43,056",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,162","44,151","Transcriptional regulator, AraC family"
