Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,161,386,
gidA CDS,Sant_0001,forward,516,"2,405",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,423","3,044",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,682","4,066",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,075","4,893",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,943","5,182",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,243","5,713",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,728","6,262",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,276","7,817",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,873","8,736",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,769","10,151",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,172","10,594",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,881","12,260",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,409","14,243",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,414","15,610",hypothetical protein
pstS CDS,Sant_0015,forward,"15,786","16,826","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,873","17,832",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,832","18,725",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,764","19,540",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,555","20,292",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,636","21,319",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,227","22,661",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,675","23,568","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,804","24,571",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,586","25,068",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,065","26,264",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,322","27,095",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,238","29,443",hypothetical protein
proP CDS,Sant_0028,forward,"29,563","31,065",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,291","32,580",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,908","34,275",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,277","34,978",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,345","36,355",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,420","37,706",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,756","39,228",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,637","40,323","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,413","43,171",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,277","44,266","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,491","47,474",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,482","47,862",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,859","48,911",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,913","50,226",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,268","51,512",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,676","52,581",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,671","53,054","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,191","53,718",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,715","54,986",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,558","57,606",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,621","57,878","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"57,921","58,367","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,381","58,695","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,717","59,793","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,834","61,552",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,666","62,526","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,633","63,040",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,130","64,380",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,414","65,223",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,216","65,986",Phsophonate ABC transporter
Phosphonate ABC transporter periplasmic phosphate-binding protein CDS,Sant_0058,reverse,"65,988","66,869",Phosphonate ABC transporter periplasmic phosphate-binding protein
GntR-family transcriptional regulator CDS,Sant_0059,forward,"67,006","67,680",GntR-family transcriptional regulator
6-phospho 3-hexuloisomerase CDS,Sant_0060,reverse,"67,916","68,479",6-phospho 3-hexuloisomerase
3-hexulose-6-phosphate synthase CDS,Sant_0061,reverse,"68,472","69,113",3-hexulose-6-phosphate synthase
