Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,124,348,
gidA CDS,Sant_0001,forward,475,"2,364",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,382","3,010",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,647","4,027",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,036","4,872",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,922","5,161",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,219","5,692",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,707","6,241",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,254","7,797",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,848","8,717",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,750","10,132",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,153","10,575",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,863","12,239",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,388","14,222",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,393","15,592",hypothetical protein
pstS CDS,Sant_0015,forward,"15,770","16,811","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,858","17,818",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,818","18,711",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,750","19,531",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,546","20,284",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,628","21,315",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,223","22,657",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,671","23,564","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,800","24,568",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,583","25,066",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,063","26,263",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,321","27,105",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,251","29,460",hypothetical protein
proP CDS,Sant_0028,forward,"29,580","31,086",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,313","32,620",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,950","34,325",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,327","35,036",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,404","36,414",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,479","37,773",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,842","39,323",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,734","40,420","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,543","43,303",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,409","44,411","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,651","47,640",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,648","48,048",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"48,045","49,157",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"49,159","50,474",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,516","51,801",Putative amino acid ligase of ATP-grasp superfamily
