Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,1,225,
gidA CDS,Sant_0001,forward,351,"2,240",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,258","2,878",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,514","3,894",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"3,903","4,721",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,771","5,010",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,068","5,538",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,553","6,086",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,099","7,651",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,703","8,567",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,600","9,987",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,008","10,435",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,720","12,096",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,249","14,082",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,257","15,458",hypothetical protein
pstS CDS,Sant_0015,forward,"15,634","16,674","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,721","17,680",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,680","18,573",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,612","19,388",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,403","20,140",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,484","21,167",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,075","22,509",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,523","23,416","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,652","24,419",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,434","24,916",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"24,913","26,112",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,170","26,943",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,086","29,291",hypothetical protein
proP CDS,Sant_0028,forward,"29,411","30,913",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,139","32,428",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,756","34,123",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,125","34,826",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,193","36,203",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,268","37,554",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,604","39,076",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,485","40,171","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,261","43,019",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,125","44,114","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,339","47,322",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,330","47,710",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,707","48,759",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,761","50,074",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,116","51,360",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,524","52,429",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,519","52,902","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,039","53,566",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,563","54,834",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,406","57,454",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,469","57,726","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"57,769","58,215","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,229","58,543","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,565","59,641","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,682","61,400",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,514","62,374","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,481","62,888",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"62,978","64,228",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,262","65,071",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,064","65,834",Phsophonate ABC transporter
Phosphonate ABC transporter periplasmic phosphate-binding protein CDS,Sant_0058,reverse,"65,836","66,717",Phosphonate ABC transporter periplasmic phosphate-binding protein
GntR-family transcriptional regulator CDS,Sant_0059,forward,"66,854","67,528",GntR-family transcriptional regulator
6-phospho 3-hexuloisomerase CDS,Sant_0060,reverse,"67,764","68,327",6-phospho 3-hexuloisomerase
3-hexulose-6-phosphate synthase CDS,Sant_0061,reverse,"68,320","68,961",3-hexulose-6-phosphate synthase
Dak1 domain-containing protein CDS,Sant_0062,reverse,"68,980","69,981",Dak1 domain-containing protein
"Dihydroxyacetone kinase, L subunit CDS",Sant_0063,reverse,"69,962","70,627","Dihydroxyacetone kinase, L subunit"
Mannitol-1-phosphate 5-dehydrogenase CDS,Sant_0064,reverse,"70,652","71,791",Mannitol-1-phosphate 5-dehydrogenase
PTS system mannose/fructose/sorbose family IID component CDS,Sant_0065,reverse,"71,803","72,633",PTS system mannose/fructose/sorbose family IID component
putative PTS system IIC component CDS,Sant_0066,reverse,"72,630","73,367",putative PTS system IIC component
putative PTS system IIB component CDS,Sant_0067,reverse,"73,370","73,867",putative PTS system IIB component
putative PTS system IIA component CDS,Sant_0068,reverse,"73,860","74,282",putative PTS system IIA component
sorbitol-6-phosphate 2-dehydrogenase CDS,Sant_0069,reverse,"74,310","75,116",sorbitol-6-phosphate 2-dehydrogenase
Transcriptional regulator of PTS system CDS,Sant_0070,reverse,"75,220","77,860",Transcriptional regulator of PTS system
trmE CDS,Sant_0071,reverse,"78,286","79,650",tRNA modification GTPase
yidC CDS,Sant_0072,reverse,"79,750","81,404",Membrane protein
yidD CDS,Sant_0073,reverse,"81,407","81,664",membrane protein
rnpA CDS,Sant_0074,reverse,"81,628","81,987",Ribonuclease P protein component
rpmH CDS,Sant_0075,reverse,"82,005","82,148",50S ribosomal protein L34
hypothetical protein CDS,Sant_0076,forward,"82,412","82,568",hypothetical protein
dnaA CDS,Sant_0077,forward,"82,784","84,189",Chromosomal replication initiator protein
dnaN CDS,Sant_0078,forward,"84,192","85,296",DNA polymerase III beta-subunit
recF CDS,Sant_0079,forward,"85,324","86,429",DNA replication and repair protein
gyrB CDS,Sant_0080,forward,"86,448","88,862",DNA gyrase subunit B
yidA CDS,Sant_0081,forward,"89,380","90,229",Sugar phosphatase
dgoR CDS,Sant_0082,forward,"90,404","91,102",Galactonate operon transcriptional repressor
dgoK CDS,Sant_0083,forward,"91,099","91,993",2-dehydro-3-deoxygalactonokinase
2-dehydro-3-deoxyphosphogalactonate aldolase CDS,Sant_0084,forward,"91,980","92,600",2-dehydro-3-deoxyphosphogalactonate aldolase
Pathogenicity island effector protein CDS,Sant_0085,reverse,"92,926","94,098",Pathogenicity island effector protein
Galactonate dehydratase CDS,Sant_0086,forward,"94,763","95,911",Galactonate dehydratase
dgoT CDS,Sant_0087,forward,"96,031","97,326",D-galactonate transporter
Ankyrin repeat domain protein CDS,Sant_0088,reverse,"97,692","99,644",Ankyrin repeat domain protein
Putative lipoprotein CDS,Sant_0089,reverse,"99,816","100,142",Putative lipoprotein
