Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,120,354,
gidA CDS,Sant_0001,forward,480,"2,370",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,388","3,018",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,659","4,042",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,051","4,873",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,923","5,163",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,221","5,700",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,715","6,248",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,261","7,802",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,853","8,730",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,763","10,225",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,246","10,683",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,972","12,349",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,503","14,335",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,505","15,700",hypothetical protein
pstS CDS,Sant_0015,forward,"15,876","16,916","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,963","17,922",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,922","18,815",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,854","19,630",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,645","20,382",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,726","21,409",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,317","22,751",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,765","23,658","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,894","24,661",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,676","25,158",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,155","26,354",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,412","27,185",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,328","29,533",hypothetical protein
proP CDS,Sant_0028,forward,"29,653","31,155",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,381","32,670",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,998","34,365",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,367","35,068",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,435","36,445",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,510","37,796",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,846","39,318",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,727","40,413","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,503","43,261",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,367","44,356","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,581","47,564",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,572","47,952",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,949","49,001",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"49,003","50,316",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,358","51,602",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,766","52,671",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,761","53,144","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,281","53,808",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,805","55,076",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,648","57,696",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,711","57,968","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"58,011","58,457","PTS system, fructose specific enzyme IIA component"
"PTS system, fructose-specific, IIB component CDS",Sant_0050,forward,"58,471","58,785","PTS system, fructose-specific, IIB component"
"PTS system, fructose specific enzyme IIC component CDS",Sant_0051,forward,"58,807","59,891","PTS system, fructose specific enzyme IIC component"
Phosphoenolpyruvate-protein phosphotransferase CDS,Sant_0052,forward,"59,932","61,667",Phosphoenolpyruvate-protein phosphotransferase
"Fructose-1,6-bisphosphate aldolase, class II CDS",Sant_0053,forward,"61,781","62,641","Fructose-1,6-bisphosphate aldolase, class II"
hypothetical protein CDS,Sant_0054,forward,"62,748","63,155",hypothetical protein
Phosphonoacetate hydrolase CDS,Sant_0055,reverse,"63,245","64,495",Phosphonoacetate hydrolase
Phosphonate transport systems inner membrane component CDS,Sant_0056,reverse,"64,529","65,338",Phosphonate transport systems inner membrane component
Phsophonate ABC transporter CDS,Sant_0057,reverse,"65,331","66,110",Phsophonate ABC transporter
Phosphonate ABC transporter periplasmic phosphate-binding protein CDS,Sant_0058,reverse,"66,112","66,999",Phosphonate ABC transporter periplasmic phosphate-binding protein
GntR-family transcriptional regulator CDS,Sant_0059,forward,"67,136","67,886",GntR-family transcriptional regulator
